ep_title	extracted_song_name	lyrics_id_guess	lyrics_title_guess	confidence	YOUR_CONFIRMED_LYRICS_ID
Awe Is Mighty (Maybe Even Holy) - GLOWsutra Conscious Indie LoFi Lullaby EPx2	Awe Is Mighty (Maybe Even Holy) - Conscious Indie LoFi Lullaby	lookup	lookup	NO-MATCH	lookup
Bee the Fool EP x2 : BANJOsutra	Bee the Fool	lookup	lookup	NO-MATCH	lookup
Best Teacher Award, in Love & Death : Indie Bliss EPx3 VOL. 1 : BOWsutra	Best Teacher Award, in Love & Death : Indie Bliss	lookup	lookup	NO-MATCH	lookup
Bloom Past Doom (Apes Gone Wrong Series) EPx5 - BLOWsutra (Revolt Now)  Grassroots Hope Song	Bloom Past Doom (Apes Gone Wrong Series)	lookup	lookup	NO-MATCH	lookup
Bo Burnham Gone Bananas 🍌 COVERsutra Vaudeville Indie JAZZ EPx11	Bo Burnham Gone Bananas 🍌 Vaudeville Indie JAZZ	lookup	lookup	NO-MATCH	lookup
CREEPYPASTA (what the hella) ♲ LoFi DUB Edition ♲ SoundCloud is broken REDUX	CREEPYPASTA (what the hella) ♲ LoFi DUB Edition ♲ SoundCloud is broken REDUX	lookup	lookup	NO-MATCH	lookup
Carnival FOTUS (ctd) EP X3	Carnival FOTUS (ctd)	lookup	lookup	NO-MATCH	lookup
Creo (La Poesia) ☘ EPx10 VOL.01 ☘ Bananasutra En Español	Creo (La Poesia) ☘	lookup	lookup	NO-MATCH	lookup
Curious Like A Kiss • FLOWsutra Cheeky Duende EPx11	Curious Like A Kiss • Cheeky Duende	lookup	lookup	NO-MATCH	lookup
DEFY (Vol 2) - 3 Songs EPx6 - BLOWsutra Revolution Ring LoFi Jazz Fusion	DEFY (Vol 2) - 3 Songs	lookup	lookup	NO-MATCH	lookup
DEFY ✰ 3 Songs EPx7 ✰ BLOWsutra Jazzy Folk Lo-Fi BLUES	DEFY ✰ 3 Songs	lookup	lookup	NO-MATCH	lookup
Daddy's a Creep ⚞  P3d0 T-Shirts ON SALE ⚟ BLOWsutra EPx4	Daddy's a Creep ⚞ P3d0 T-Shirts ON SALE ⚟	lookup	lookup	NO-MATCH	lookup
Do Panic Now ✝ GROWsutra EPx13	Do Panic Now ✝	lookup	lookup	NO-MATCH	lookup
Donkeys Years - SHOWsutra Fanana Club Gratitude EPx20	Donkeys Years - Fanana Club Gratitude	lookup	lookup	NO-MATCH	lookup
Dressed in (nothing butt) Wonder ★ Exxxplore and Play (EP) x16 Bananas	Dressed in (nothing butt) Wonder ★ Exxxplore and Play (EP) x16 Bananas	lookup	lookup	NO-MATCH	lookup
Ethical Paradox (Bertrand Undone)	Ethical Paradox (Bertrand Undone)	lookup	lookup	NO-MATCH	lookup
F-BOMB ⚝ SHOWsutra DUB EPx7	F-BOMB ⚝ DUB	lookup	lookup	NO-MATCH	lookup
FOTUS CIRCUS ★ VOL.2 EPx10 ★ BURLESQUEsutra	FOTUS CIRCUS	lookup	lookup	NO-MATCH	lookup
FOTUS CIRCUS ★ VOL.3 EPx9 ★ BURLESQUEsutra	FOTUS CIRCUS	lookup	lookup	NO-MATCH	lookup
FOTUS CIRCUS ★ VOL.4 EPx9 ★ BURLESQUEsutra	FOTUS CIRCUS	lookup	lookup	NO-MATCH	lookup
Freee, La Fille • French SHOWsutra Psychedelic EPx10	Freee, La Fille • French Psychedelic	lookup	lookup	NO-MATCH	lookup
Glitter on a Turd ❯ GROWsutra Banana Cabaret EPx5	Glitter on a Turd ❯ Banana Cabaret	lookup	lookup	NO-MATCH	lookup
Grifters • BLOWsutra (Apes Gone Wrong) EPx14	Grifters • (Apes Gone Wrong)	lookup	lookup	NO-MATCH	lookup
Hard Core (Questions that Matter) X5	Hard Core (Questions that Matter) X5	lookup	lookup	NO-MATCH	lookup
HashtagWHY (to be ctd...)	HashtagWHY (to be ctd...)	lookup	lookup	NO-MATCH	lookup
Hey, You ✖ EPx8 ✖ BLOWsutra Indie Punk ROCK	Hey, You ✖	lookup	lookup	NO-MATCH	lookup
Hope is So Do-Do-Dope 🎪🦤 SHOWsutra Surreal Soul Circus EPx9	Hope is So Do-Do-Dope 🎪🦤 Surreal Soul Circus	lookup	lookup	NO-MATCH	lookup
How to Help a Bible Bro Grow Up, In the name of Religious Freedom	How to Help a Bible Bro Grow Up, In the name of Religious Freedom	lookup	lookup	NO-MATCH	lookup
I Ain't No Christian (No Holy Fool) ♥ EPx4 VOL.02	I Ain't No Christian (No Holy Fool) ♥	lookup	lookup	NO-MATCH	lookup
I Did the Math, and Everything is Stupid • SHOWsutra Snoopy Fanana Club EPx11	I Did the Math, and Everything is Stupid • Snoopy Fanana Club	lookup	lookup	NO-MATCH	lookup
If We Had But(t) The Truth ☲ Easterican Profanities EPx5 ☲ QUACKsutra	If We Had But(t) The Truth ☲ Easterican Profanities	lookup	lookup	NO-MATCH	lookup
Ironic Moronic Eugenics ☤ What Happens When KNOWsutra & BLOWsutra Make a Baby	Ironic Moronic Eugenics ☤ What Happens When & Make a Baby	lookup	lookup	NO-MATCH	lookup
Kindness - Psychedelic INDIEsutra	Kindness - Psychedelic	lookup	lookup	NO-MATCH	lookup
Kindness Matters - Human Life Soundtrack EP	Kindness Matters - Human Life Soundtrack EP	lookup	lookup	NO-MATCH	lookup
Kiss A Pulse • GLOWsutra (Lucille Clifton Poetry) EPx16	Kiss A Pulse • (Lucille Clifton Poetry)	lookup	lookup	NO-MATCH	lookup
L'Embobinage (d'après Carl Sagan) • French GROWsutra EPx17	L'Embobinage (d'après Carl Sagan) • French	lookup	lookup	NO-MATCH	lookup
Le Bal Des Salauds - French BLOWsutra Indie Gipsy Burlesque EPx9	Le Bal Des Salauds - French Indie Gipsy Burlesque	lookup	lookup	NO-MATCH	lookup
Let’s Do It (Let's Fall in Love) EP • Public Domain Lyrics • JAZZsutra	Let’s Do It (Let's Fall in Love) EP • Public Domain Lyrics	lookup	lookup	NO-MATCH	lookup
MAKA MAKA EPx7 ⭐︎ MAxA Series, Vol. 4	MAKA MAKA	lookup	lookup	NO-MATCH	lookup
MAWA MAWA EPx2 (if Soundcloud allows) ⭐︎ MAxA Series, Vol. 2	MAWA MAWA	lookup	lookup	NO-MATCH	lookup
MAxA Alphabet Series Compilation - Make America Humane, Kind, Safe, Smart, etcetera Alright?!	MAxA Alphabet Series Compilation - Make America Humane, Kind, Safe, Smart, etcetera Alright?!	lookup	lookup	NO-MATCH	lookup
Men-Oh-Pause 🩸 KNOWsutra EPx14	Men-Oh-Pause 🩸	lookup	lookup	NO-MATCH	lookup
Muddy Waters EP	Muddy Waters EP	lookup	lookup	NO-MATCH	lookup
My Quest • EPx6 Vol. 2 • GLOWsutra Jacques Brel Dream	My Quest	lookup	lookup	NO-MATCH	lookup
Nietzsche's Gift (They Muddy the Water to Make it Look Deep) - KNOWsutra EPx13 Vol. 5	Nietzsche's Gift (They Muddy the Water to Make it Look Deep)	lookup	lookup	NO-MATCH	lookup
No Fear, My Dear ❢ BLOWsutra Revolution Ring Jazz EPx19	No Fear, My Dear ❢ Revolution Ring Jazz	lookup	lookup	NO-MATCH	lookup
Oh, Martine ❃ French GLOW+BOWsutra ❃ Side A+B EPx28	Oh, Martine ❃ French GLOW+ ❃ Side A+B	lookup	lookup	NO-MATCH	lookup
One Percent Rising • GROWsutra (Dare to Care) Psychedelic Indie EPx6	One Percent Rising • (Dare to Care) Psychedelic Indie	lookup	lookup	NO-MATCH	lookup
Oy, We Care 🦆 QUACKsutra Psychedelic Punk Rock Mantra EPx4	Oy, We Care 🦆 Psychedelic Punk Rock Mantra	lookup	lookup	NO-MATCH	lookup
Peace Matters More (The Only Wish Worth Making) 🪽 GROWsutra Birthday Wish Song	Peace Matters More (The Only Wish Worth Making) 🪽 Birthday Wish Song	lookup	lookup	NO-MATCH	lookup
Peel Me Kindly 🍌 SHOWsutra Gone Banana à la Gipsy JAZZ EPx7	Peel Me Kindly 🍌 Gone Banana à la Gipsy JAZZ	lookup	lookup	NO-MATCH	lookup
Project 2-0-2-5 (Explicit Fascism Advisory) • Pray for Murica SOULsutra EPx7	Project 2-0-2-5 (Explicit Fascism Advisory) • Pray for Murica	lookup	lookup	NO-MATCH	lookup
Queer Almighty (Holy Questions Matter) - EPx16 VOL. 02	Queer Almighty (Holy Questions Matter)	lookup	lookup	NO-MATCH	lookup
Relative Steve - KNOWsutra Hip de la HoP EPx2 Bass Interlude	Relative Steve - Hip de la HoP	lookup	lookup	NO-MATCH	lookup
Seminal Bollocks - Merry Psychedelic GROWsutra (God Etc.) EPx10	Seminal Bollocks - Merry Psychedelic (God Etc.)	lookup	lookup	NO-MATCH	lookup
Shady Fools (Oh Can’t You See?) • Vol. 2 EPx9 • BLOWsutra Ego Gone Loco LoFi Burlesque	Shady Fools (Oh Can’t You See?)	lookup	lookup	NO-MATCH	lookup
Sidération - Spoken Words Intro - EPx3 VOL. 1 of 4	Sidération - Spoken Words Intro	lookup	lookup	NO-MATCH	lookup
Sidération Blues - A Song of Wrong - EPx7 Vol 3 of 4	Sidération Blues - A Song of Wrong	lookup	lookup	NO-MATCH	lookup
Sidération's Calling - White House's Burning - EPx13 Vol 4 of 4	Sidération's Calling - White House's Burning	lookup	lookup	NO-MATCH	lookup
Spit Back The Lies • BLOWsutra (Revolution Ring) EPx20	Spit Back The Lies • (Revolution Ring)	lookup	lookup	NO-MATCH	lookup
Stymied Felon goes Stymy Stymy Yuck Encore - Freee Bonus EPx2 VOL.02	Stymied Felon goes Stymy Stymy Yuck Encore - Freee Bonus	lookup	lookup	NO-MATCH	lookup
Stymy Stymy Yuck : A Story of Old Bastards - EPx5 VOL.1 - DUBsutra	Stymy Stymy Yuck : A Story of Old Bastards	lookup	lookup	NO-MATCH	lookup
Sutra of Immanence - FLOWsutra Dog Poetry - Jazz & Dub EPx3	Sutra of Immanence - Dog Poetry - Jazz & Dub	lookup	lookup	NO-MATCH	lookup
SynthemaSutra ♆ SHOWsutra Banana EPx8	♆ Banana	lookup	lookup	NO-MATCH	lookup
Thank you, Mister Paine - American Accountability Revolution Blues EPx3	Thank you, Mister Paine - American Accountability Revolution Blues	lookup	lookup	NO-MATCH	lookup
The Conquest of Happiness (according to Bertrand Russel) ☰ 2 Songs EPx10 ☰ KNOWsutra	The Conquest of Happiness (according to Bertrand Russel) ☰ 2 Songs	lookup	lookup	NO-MATCH	lookup
The Echo Song Song ☭ Vladimir Vysotsky - EPx6  English Cover ☭ BLOWsutra Gipsy Trip Hop Trip	The Echo Song Song ☭ Vladimir Vysotsky	lookup	lookup	NO-MATCH	lookup
The Great Naked King • SHOWsutra Psychedelick Fools Cabaret EPx30	The Great Naked King • Psychedelick Fools Cabaret	lookup	lookup	NO-MATCH	lookup
The Invisible Man in the Sky (a song inspired by George Carlin) EPx8 VOL.01	The Invisible Man in the Sky (a song inspired by George Carlin)	lookup	lookup	NO-MATCH	lookup
This Is My Quest • GROWsutra (Dare to Care) Dream EPx19	This Is My Quest • (Dare to Care) Dream	lookup	lookup	NO-MATCH	lookup
This Is What Dissent Looks Like Now - BLOWsutra (Revolution Ring) Jazz Indie LoFi Dream	This Is What Dissent Looks Like Now - (Revolution Ring) Jazz Indie LoFi Dream	lookup	lookup	NO-MATCH	lookup
To Dream EP X8 | Jacques Brel Chanson Reimagined : Psychedelic French Poetry JAZZsutra X5	To Dream	lookup	lookup	NO-MATCH	lookup
Trauma Begets Trauma - KNOWsutra Peace (not War) Piano Kitten Truth EPx5	Trauma Begets Trauma - Peace (not War) Piano Kitten Truth	lookup	lookup	NO-MATCH	lookup
What It's About - Blues Dub Murica Mantra EPx7	What It's About - Blues Dub Murica Mantra	lookup	lookup	NO-MATCH	lookup
When We Duende, Encore ★ Arabesk Fado Soul EPx2 VOL.2	When We Duende, Encore ★ Arabesk Fado Soul	lookup	lookup	NO-MATCH	lookup
